LON,LAT
-97.146145,25.957100
-96.289339,24.856700
-92.465677,24.932200
-86.468099,26.636800
-87.451874,30.287000
-87.569708,30.265900
-87.686883,30.240300
-87.808665,30.223900
-87.863302,30.223300
-87.958095,30.227800
-88.029190,30.218200
-88.041039,30.236400
-87.960070,30.256300
-87.926498,30.259700
-87.877126,30.243800
-87.842237,30.256800
-87.788258,30.258000
-87.766535,30.268800
-87.759294,30.287500
-87.774434,30.308000
-87.801424,30.321100
-87.832363,30.344400
-87.844870,30.372200
-87.879101,30.384100
-87.918598,30.414200
-87.923864,30.462500
-87.940321,30.472100
-87.935055,30.499300
-87.919915,30.529400
-87.917281,30.552100
-87.919915,30.575900
-87.924522,30.609900
-87.929789,30.640500
-87.947562,30.650700
-87.969286,30.651800
-87.992984,30.665400
-88.011416,30.659200
-88.042355,30.638200
-88.050913,30.624000
-88.046963,30.615500
-88.053546,30.590000
-88.077902,30.565100
-88.075928,30.539000
-88.093700,30.456200
-88.098966,30.398300
-88.106208,30.353500
-88.158870,30.323300
-88.191784,30.310300
-88.204292,30.330700
-88.197051,30.353500
-88.288552,30.381300
-88.295793,30.364800
-88.318175,30.363100
-88.320149,30.381900
-88.351747,30.390900
-88.390586,30.372200
-88.392561,30.342100
-88.437324,30.347200
-88.442590,30.331300
-88.480770,30.308600
-88.501836,30.312500
-88.528825,30.337000
-88.553840,30.331300
-88.588071,30.335800
-88.605844,30.368800
-88.657849,30.350000
-88.703773,30.333900
-88.763451,30.340300
-88.812158,30.366300
-88.960597,30.382300
-89.106716,30.334200
-89.331694,30.278200
-89.412872,30.192000
-89.445343,30.089700
-89.359526,30.069700
-89.208768,30.176000
-89.160061,30.161900
-89.160061,30.089700
-89.139187,30.055600
-89.162381,29.921000
-89.211087,29.778200
-89.245878,29.669400
-89.315458,29.693600
-89.273710,29.629100
-89.303862,29.596800
-89.385039,29.615000
-89.461578,29.532300
-89.382720,29.439400
-89.189791,29.427100
-89.195969,29.394800
-88.957491,29.209500
-89.040279,29.043200
-89.103296,29.036700
-89.139130,28.948100
-89.194733,28.982700
-89.260222,29.027000
-89.293584,29.016200
-89.401084,28.903800
-89.441860,28.948100
-89.392435,29.025900
-89.446803,29.086400
-89.452981,29.146900
-89.422090,29.170600
-89.376372,29.156600
-89.365251,29.180300
-89.346716,29.201900
-89.373900,29.206200
-89.402320,29.203000
-89.435682,29.201900
-89.467809,29.179200
-89.494993,29.193300
-89.544418,29.227800
-89.632148,29.254700
-89.684045,29.282800
-89.801430,29.305400
-89.855798,29.300000
-89.907695,29.275200
-89.989247,29.214800
-90.054735,29.165200
-90.157293,29.102600
-90.262325,29.067000
-90.283331,29.109100
-90.264796,29.131800
-90.288274,29.152300
-90.299394,29.195400
-90.269739,29.235300
-90.295687,29.231000
-90.309279,29.247200
-90.338935,29.263400
-90.393303,29.251500
-90.405659,29.302200
-90.447670,29.334500
-90.502038,29.326900
-90.548993,29.303200
-90.571234,29.309700
-90.566291,29.291400
-90.591004,29.241800
-90.721981,29.166300
-90.746694,29.108000
-90.776349,29.099400
-90.848016,29.115600
-90.887557,29.137200
-90.891263,29.167400
-90.914741,29.217000
-90.929568,29.198700
-90.930804,29.167400
-90.976522,29.160900
-91.029655,29.163100
-91.087729,29.177100
-91.154454,29.210500
-91.210057,29.211600
-91.287902,29.240700
-91.336092,29.292500
-91.363276,29.332300
-91.366984,29.461500
-91.373162,29.483000
-91.425058,29.473300
-91.481898,29.486300
-91.507846,29.519600
-91.528852,29.514200
-91.542444,29.538900
-91.542444,29.565800
-91.560978,29.627100
-91.586927,29.626000
-91.635116,29.616300
-91.651180,29.642100
-91.637588,29.656100
-91.641295,29.723700
-91.712961,29.718300
-91.769801,29.702200
-91.830347,29.685000
-91.855059,29.662500
-91.845174,29.634600
-91.794513,29.609900
-91.757444,29.590500
-91.696898,29.571200
-91.719140,29.532500
-91.748795,29.517400
-91.771036,29.481900
-91.801927,29.470100
-91.852588,29.476600
-91.946496,29.517400
-92.018163,29.556100
-92.081181,29.575500
-92.146669,29.573300
-92.228221,29.543200
-92.262074,29.513900
-92.401843,29.535800
-92.530156,29.555800
-92.653887,29.581700
-92.768452,29.613500
-92.901347,29.667300
-92.997582,29.705100
-93.109856,29.739000
-93.201508,29.758900
-93.270247,29.760800
-93.338986,29.740900
-93.439803,29.750900
-93.616234,29.740900
-93.760586,29.715100
-93.829325,29.663300
-93.955346,29.685200
-94.101990,29.655400
-94.539628,29.488000
-94.713767,29.402200
-94.722930,29.324300
-94.936021,29.206400
-95.137655,29.060200
-95.378242,28.865800
-95.426359,28.857800
-95.880039,28.632800
-96.173325,28.508000
-96.365795,28.385100
-96.429951,28.326600
-96.581177,28.237800
-96.853842,28.054000
-97.014233,27.871900
-97.183788,27.632600
-97.284605,27.443600
-97.346471,27.286900
-97.373966,27.111700
-97.371675,26.942300
-97.300629,26.653800
-97.279073,26.589600
-97.227579,26.438500
-97.197640,26.318300
-97.167701,26.152900
-97.150936,26.036800
-97.146145,25.957100
