MMSI
121776489
123456789
235104482
236112178
303155000
338027558
338031555
338041163
338043094
338043334
338043913
338046245
338054682
338067694
338070304
338071872
338074638
338079359
338083022
338089368
338095603
338099677
338099712
338107596
338108077
338115157
338115703
338117836
338118099
338122952
338124847
338127336
338128636
338129232
338129781
338134728
338135511
338140891
338143421
338151216
338151875
338153060
338153106
338153872
338154757
338154925
338155514
338156416
338156976
338161303
338162561
338162563
338163125
338164195
338167606
338168836
338169496
338170852
338171434
338172133
338177821
338178076
338182488
338182939
338184011
338184998
338185492
338186779
338186995
338188521
338188863
338188983
338189281
338190229
338192994
338193306
338193656
338194157
338201775
338203326
338203492
338203808
338204361
338205076
338205879
338207499
338207777
338210347
338210692
338211998
338213744
338214122
338214779
338216061
338216279
338218662
338219062
338222357
338225406
338228733
338229739
338234211
338234505
338235517
338236561
338236891
338238126
338238386
338239058
338242142
338242572
338243255
338246048
338246514
338249255
338249314
338251169
338252134
338300989
338301504
338302717
338302951
338304719
338310912
338311598
338311968
338313264
338314622
338319112
338321214
338323917
338326549
338328121
338329921
338336521
338337193
338337864
338340072
338340418
338345148
338345317
338345963
338346264
338515000
366271150
366845960
366927490
366947050
366958640
367170470
367336640
367348210
367392810
367396150
367408490
367408920
367429520
367442160
367445450
367449650
367456560
367459410
367466110
367491430
367528580
367542960
367595380
367597760
367600250
367614640
367626070
367630230
367636310
367642150
367646940
367658420
367660960
367667890
367679110
367680960
367689550
367689640
367692770
367703370
367707170
367707440
367712060
367716060
367719130
367719930
367726140
367730420
367730810
367732950
367739230
367745150
367745760
367749730
367751720
367757190
367759750
367777010
367777840
367782450
367786720
367792010
367794070
367799860
368010350
368019140
368037340
368046220
368052740
368052810
368053520
368059550
368059770
368060940
368061130
368065820
368070760
368071350
368072410
368073570
368074580
368075460
368076660
368086360
368098110
375144000
376794000
538070674
