LAT,LON
25.9549238885927,-97.146341840721
26.2105963742296,-97.1786084156481
26.4392006473511,-97.2267948818937
26.7131155219549,-97.3144205913896
26.9409506241204,-97.3733392098903
27.2381948299922,-97.3536997038123
27.509565248758,-97.2499956220558
27.8776471339216,-97.0077746348881
28.0539999401663,-96.855022416767
28.3280720859457,-96.4284079754034
28.4969719023136,-96.1916422843358
28.8635868411337,-95.3853300793036
29.2108230117506,-94.9325270042829
29.3231365306908,-94.7208564118929
29.4049143402772,-94.7121277276709
29.4827910105008,-94.5463471921147
29.6592984918529,-94.0739071585848
29.6792073576794,-93.9462501518341
29.6630909605969,-93.826230743778
29.7133276704338,-93.7574923555273
29.7512255330155,-93.4399864669423
29.7607479179518,-93.1998712835684
29.6811534311097,-92.9380107569004
29.5806227705967,-92.6565106907323
29.5162520975399,-92.2642686354715
29.5741538015925,-92.1475224839983
29.5608678187247,-92.0318674180532
29.4773159297318,-91.8529293914971
29.4706667956712,-91.7951018585245
29.5694090083582,-91.6969041610241
29.6434023797613,-91.8496561349135
29.7116557246348,-91.7492762663576
29.7002833853108,-91.640167713579
29.6196924687798,-91.6205281740788
29.5181510398553,-91.5059641936618
29.4754162216433,-91.4132219238004
29.3746807827744,-91.3619409039944
29.2243427925429,-91.2517412656884
29.1044923894996,-90.7483800379835
29.3044943130288,-90.5574400706218
29.3301805074153,-90.4406939191486
29.251198637516,-90.3915950703987
29.2569102177412,-90.3206745110925
29.1959702604612,-90.2977617150093
29.0634922247878,-90.2584819182854
29.1588178968435,-90.057722181173
29.2997375962166,-89.8482337598385
29.2768989322582,-89.6758422464489
29.1788250621025,-89.4674449106425
29.2064477008371,-89.3834316847671
29.1559595208947,-89.3757940860725
29.1511952028254,-89.4478057309062
29.0062545714863,-89.4041623097948
28.9489850882595,-89.4401681322116
28.9021915070929,-89.3976157966283
29.0224751597303,-89.2754142175166
28.948030328351,-89.1401196120713
29.034877420194,-89.1041137896545
29.0406010378701,-89.0386486579873
29.2083524286137,-88.954635072348
29.4319111022806,-89.2448638227382
29.4414136102532,-89.380157735065
29.5316406824672,-89.4587158930652
29.6872117675113,-89.2404987875087
29.995091073275,-89.1464772356424
30.1593768275681,-89.162843518559
30.1744698581104,-89.2119423673089
30.0706586329971,-89.3592389135599
30.0914296066955,-89.4476168413101
30.2791140829552,-89.3330528608931
30.3803058562129,-88.9580522807037
30.3671272452038,-88.8118468199808
30.3304060353034,-88.7016471816741
30.3680686334753,-88.6056316552292
30.3360563490296,-88.585992115729
30.3351146527177,-88.53143783934
30.3125112244796,-88.4965231024513
30.3247553955517,-88.4419688260617
30.3887768822221,-88.3492265562003
30.3482975768157,-88.1997478388939
30.3125112244796,-88.1888369836164
30.332289509439,-88.1408292203939
30.2569223017108,-88.1190075098382
30.2314728019458,-88.3437711285613
30.2465547826037,-88.0786373453104
30.2606920373758,-88.1091877400881
30.337939714482,-88.1277361940602
30.5436232982486,-88.0718067834058
30.6450566630599,-88.0379831320445
30.6506887357231,-87.9583338885163
30.6121963694031,-87.9234191516275
30.4157415341932,-87.921236980572
30.3065333085294,-87.7750315198485
30.2679047020761,-87.7652117500984
30.2415154520466,-88.0368920465164
30.2151191143229,-88.0259811912389
30.238688023927,-87.6844707666455
30.287692397843,-87.4542517202834
30.297692397843,-87.4542517202834
